postcode,Avg_Price,MAE,Median_Accuracy
SE19 2UG,39000000.0,37911087.21153832,2.7920840729786676
EC2A 1RS,50600000.0,37899774.68627793,25.09925951328472
EC4N 1SE,76000000.0,37823629.828651674,50.23206601493201
NW1 5QD,43956164.0,37778473.00409236,14.054208633646098
SW11 7AG,39000000.0,37681057.990412936,3.381902588684781
SW1H 9NP,51460000.0,37626517.58652197,26.88201013112716
EC2V 7EE,724320.0,37552313.03579336,0.0
SE15 5EU,38800000.0,37401814.00328001,3.6035721564948346
DA14 6LF,38500000.0,37352454.88198737,2.980636670162667
W1T 4TN,42000000.0,37226747.45632554,11.36488700874871
W1G 9QB,10000.0,37162603.178665474,0.0
N19 5LW,38000000.0,37083048.70748517,2.4130297171442834
W1K 5DH,100000.0,37072603.178665474,0.0
SE8 5DL,38600000.0,37031688.79254509,4.062982402732928
W5 1EL,42000000.0,36920023.69805033,12.095181671308737
WC1X 8LD,50700000.0,36866517.58652197,27.28497517451288
N19 5PA,39625000.0,36860250.31024705,6.977286283288208
SM1 4RQ,38000000.0,36720780.67666659,3.366366640351089
E1W 1AP,36921000.0,36603815.387278765,92.74908442373261
SW9 9SP,38135000.0,36592676.7020382,4.04437733830288
SE1 3QU,43250000.0,36562260.72370873,15.462980985644563
SW6 6AW,39225000.0,36478706.74506758,7.001384971147019
W1K 4QF,41250000.0,36476747.45632554,11.571521317998688
E1 7PH,37703879.0,36372678.22489606,3.5306732633635534
SW1X 7SH,41000000.0,36266338.29865154,11.545516344752343
SW3 4NB,41810000.0,36259575.62100577,13.275351301110334
WC2A 3HP,40000000.0,36168481.46160283,9.578796345992927
EC1V 1JT,37570500.0,36055544.530952655,5.051794721838867
W1K 7TD,1148950.0,36023653.178665474,0.0
W1K 7TE,1148950.0,36023653.178665474,0.0
EC2P 2NQ,40000000.0,35934609.73156773,10.163475671080676
N17 7RP,37000000.0,35678547.354847156,3.5714936355482223
N18 3AL,36775000.0,35533094.37196685,3.3770377376836365
UB8 1QW,39570000.0,35391887.11894137,10.55878918640039
W1F 7NH,40106580.0,35333327.45632554,11.901420025528125
EC1Y 8QJ,2500000.0,35285091.69024986,0.0
SW15 5RU,36334968.0,35100633.29852032,28.94464828717595
W1K 1AL,38822000.0,35031399.50741025,9.764052579954026
W1T 6PG,2156562.0,35016041.178665474,0.0
UB7 0LW,42000000.0,35002608.108474106,16.660456884585457
SW1X 7LJ,35321115.0,34926797.070044234,9.689939744043464
EC2A 3PT,46850000.0,34853441.42203797,39.404860798380085
EC1M 5UH,2550000.0,34622603.178665474,0.0
SE7 7SJ,37000000.0,34622178.89467212,6.426543527913196
SW10 0UA,40000000.0,34598192.80832656,13.504517979183603
WC2N 4LL,2625000.0,34547603.178665474,0.0
EC1N 6RY,2640000.0,34532603.178665474,0.0
SE1 2UP,51000000.0,34507580.275522426,32.3380778911325
W1C 1JJ,40750000.0,34483316.2275775,15.378365085699386
E4 8JA,35677680.0,34471771.8608997,3.380007161621208
SE1 2LL,34839810.0,34437834.8684233,22.610586036088762
EC3V 3PD,1560698.0,34401345.48254447,0.0
IG11 7HP,36100000.0,34327211.870621644,4.91077044149128
SW10 9SU,37720000.0,34311247.634239055,9.036989304774508
EN3 7XY,35325000.0,34285252.818418205,3.3625297517462442
HA8 7UU,35730000.0,34188715.20586751,4.313699395836807
W1F 9DY,48867979.0,34111072.507680394,30.19749699966026
WC2A 2JL,3185000.0,33987603.178665474,0.0
W1W 7NS,48227777.0,33945994.6924736,29.61318807525879
W1U 5QN,3235529.0,33937074.178665474,0.0
EC2V 6ET,120000.0,33912481.62416173,0.0
W1S 4EE,50400000.0,33708625.09755451,33.11780734612199
N14 6RA,35881815.0,33691864.5790858,6.103232015755623
E14 8FQ,31650000.5,33687315.78495987,3.432191253342836
EC1Y 1AA,34520033.0,33671606.786014125,7.561971223985168
EC2V 6BT,6250000.0,33612761.34833985,0.0
WC1B 3BD,53700000.0,33403961.5348402,37.7952299164987
EC2N 2JA,18370000.0,33396779.79729867,0.0
SW1A 1ES,751410.0,32960434.152174525,0.0
E3 2EQ,34992000.0,32711473.154926237,6.51728065007363
SW1A 1RN,193906.0,32711469.577804595,0.0
W5 5SL,36250000.0,32640807.858817127,9.956392113607933
N1 6DZ,35484277.666666664,32569774.33197467,7.073782394544409
EC4A 4HH,37500000.0,32552084.97903176,13.194440055915308
EN4 0DR,34000000.0,32518008.894970033,4.358797367735207
EC2V 5BR,12150000.0,32491080.875844233,0.0
UB8 1HE,35000000.0,32451643.988622423,7.2810171753644966
SW1X 8AQ,36950000.0,32426532.837826744,12.242130344176601
SW1P 3HZ,48100000.0,32358133.752983473,32.72737265492002
WC1N 1DF,4850000.0,32322603.178665474,0.0
EC3V 3RA,44575486.0,32132744.832478613,27.913865409165453
NW10 7XN,34500000.0,32078210.38952434,7.019680030364228
W1W 5NB,34399998.0,31988199.61719347,7.01104221810283
HA9 0PE,34704806.0,31980380.44331055,7.850283204837538
N1 7ED,34600000.0,31964849.442171194,7.616042074649727
TW8 9ET,37379282.0,31947844.01533026,14.53061079308516
SE1 7BJ,36075000.0,31841871.92260315,12.99968469080251
W11 3TH,39000000.0,31819325.28320415,18.411986453322697
TW9 1AB,34500000.0,31599743.487517368,8.406540615891686
W5 2ND,35800000.0,31502213.548016176,12.004990089340296
WC2A 1AP,38103880.5,31494332.815950613,10.711082631787363
UB9 6NS,33000000.0,31424786.36879718,4.773374640008541
SW1H 0BD,10150384.307692308,31376080.772045713,0.0
HA9 0PY,32737500.0,31354468.89837916,4.224608176008687
EC1M 5UA,32277419.5,31153395.300645314,6.429922919237242
N15 5PQ,31693423.5,31054795.844509892,3.340795205470627
TW9 2QH,33750000.0,31025892.492330194,8.071429652354979
SE18 6PF,32500000.0,30845679.397492852,5.0902172384835325
SW1Y 5EY,34250000.0,30806547.350442763,10.053876349072226
SE17 1LF,33897600.0,30719027.01871916,9.376985336073474
N8 0EF,32440000.0,30691121.318346936,5.391118007561843
N4 3EN,32440000.0,30593240.788270622,5.69284590545432
SE14 6NA,31625000.0,30568028.189560927,3.501482614458169
TW8 9RE,31873961.0,30557096.68483935,4.13147369779567
W1S 3DA,47196058.0,30550333.553415928,36.120565771869934
W13 9BZ,33700000.0,30511114.102767996,9.462569427988143
EC2R 8AR,116557.0,30412108.22567237,0.0
WC1X 8BH,36300000.0,30404926.45115618,12.409605117295257
EC3A 6HB,16250000.0,30330851.56860561,0.0
EC2V 7BX,2500.0,30306080.51838053,0.0
TW1 1FB,31098589.0,30238971.731712125,2.764168072988369
SW3 5JP,33600000.0,30157117.037503764,11.139991400112763
EC2N 3AQ,215544.0,30153688.98686999,0.0
SW1X 8QB,35000000.0,30072232.447781302,14.079335863481987
W1T 4TW,34857502.5,30013782.79852709,9.250857575386952
TW6 1SL,411612.0,29848375.494860183,0.0
SE1 1DN,36500000.0,29819866.044284407,18.30173686497423
WC1E 6AF,2850000.0,29747900.86959809,0.0
WC2B 4PJ,38300000.0,29658774.82116314,22.561945636649767
UB3 4AZ,37250000.0,29639007.43288531,21.81702356087088
EC2V 7GF,21000000.0,29539717.392685518,0.0
EC2V 7HP,21000000.0,29539717.392685518,0.0
UB2 5LJ,33025000.0,29519792.40193233,12.417043456922606
W1K 7AY,416000.0,29395701.532436114,0.0
HA0 1HG,31430000.0,29322538.759992152,6.705253706674668
E16 1DR,31779970.0,28910323.430692334,9.02973341166674
W4 2QA,34000000.0,28908191.006555952,14.975908804247197
