postcode,Avg_Price,MAE,Median_Accuracy
SE1 9AN,448500000.0,441400369.5,1.5829722408026754
E1 8EP,421364142.0,419483107.125,0.4464155079907215
EC2V 7PG,411500000.0,403786063.0,1.8745897934386448
W1S 2UD,366180000.0,357421321.0,2.391905347097051
WC1B 4JB,365500000.0,346457273.0,5.412875427221785
SW6 2QH,315000000.0,313656794.5,0.42641444444444687
EC4V 5AJ,302401851.0,299671863.75,0.9027680356361287
SW1A 2EU,325169089.0,298650323.0,8.15537727818895
W1S 2UB,305211030.0,296452351.0,2.869712474021668
E16 2QQ,296280000.0,283215507.0,4.409508910490075
WC1N 3PA,286000000.0,264088748.0,7.661276923076926
WC2N 6HT,281206774.0,263623808.0,6.252682234461389
W1J 7BT,287340503.5,261025388.75,42.89311600518779
SE1 9LS,255000000.0,249972364.5,1.9716217647058727
E14 5HU,262890000.0,247312452.0,5.925500399406587
EC4V 5AE,238967500.0,225137481.0,6.83423882948334
SW1Y 4PD,250100000.0,218531728.0,12.622259896041584
EC3M 3AZ,1233863.3333333333,202012995.33333334,0.0
EC1A 7AJ,209550000.0,196928379.0,6.0232025769506095
SW7 1AY,210000000.0,196313405.0,6.5174261904762005
W8 5JN,194800000.0,191426933.75,1.7315535164271125
EC3M 5BN,24188863.0,186535377.0,0.0
E1 8QS,185000000.0,184290003.875,0.38378168918919187
W1F 8HX,185837186.0,180317298.5,2.9702814699314217
E1 8FA,180500000.0,180115559.0625,0.2129866689750628
NW1 3AN,180000000.0,179137715.0,0.4790472222222206
SW3 3AL,186000000.0,178661603.0,3.9453747311827954
SW11 7BW,177445000.0,177801176.0,0.0
EC1V 9BW,181500000.0,175673799.5,3.210027823691462
W1S 4JX,178000000.0,171013942.5,3.924751404494387
W3 6EE,166180000.0,162018729.75,2.5040740462149387
EC4A 4AB,191200000.0,158991116.0,16.845650627615058
W6 7AP,159477751.0,158337481.125,0.7150024801892272
EC3M 6BL,750000.0,158032624.0,0.0
W1S 1HU,165500000.0,157520901.375,4.8212076283987955
SW6 2YA,158100000.0,157015539.875,34.61798847222222
E1 1LJ,171030000.0,156614039.0,8.42890779395428
